"date","deaths_total","death_covid","death_covid_contrib","death_unknown_missing"
2022-10-16,19,16,3,0
2022-10-17,18,12,6,0
2022-10-18,20,11,7,2
2022-10-19,19,11,8,0
2022-10-20,18,10,7,1
2022-10-21,25,15,10,0
2022-10-22,22,16,6,0
2022-10-23,13,8,5,0
2022-10-24,33,22,11,0
2022-10-25,25,20,5,0
2022-10-26,20,13,7,0
2022-10-27,24,19,4,1
2022-10-28,22,14,7,1
2022-10-29,13,9,4,0
2022-10-30,15,9,5,1
2022-10-31,16,9,7,0
2022-11-01,20,11,8,1
2022-11-02,18,12,6,0
2022-11-03,21,13,5,3
2022-11-04,19,12,7,0
2022-11-05,18,13,5,0
2022-11-06,13,8,5,0
2022-11-07,13,8,5,0
2022-11-08,18,9,7,2
2022-11-09,21,14,7,0
2022-11-10,16,11,5,0
2022-11-11,11,7,4,0
2022-11-12,9,6,3,0
2022-11-13,17,10,7,0
2022-11-14,14,8,6,0
2022-11-15,18,12,6,0
2022-11-16,12,7,5,0
2022-11-17,12,6,5,1
2022-11-18,15,12,3,0
2022-11-19,13,5,5,3
2022-11-20,7,3,4,0
2022-11-21,15,13,2,0
2022-11-22,13,7,5,1
2022-11-23,11,7,3,1
2022-11-24,18,10,7,1
2022-11-25,7,2,4,1
2022-11-26,17,8,9,0
2022-11-27,9,6,3,0
2022-11-28,16,8,8,0
2022-11-29,8,6,2,0
2022-11-30,17,12,4,1
2022-12-01,9,8,1,0
2022-12-02,10,7,3,0
2022-12-03,8,4,4,0
2022-12-04,13,7,5,1
2022-12-05,10,6,4,0
2022-12-06,8,5,3,0
2022-12-07,12,4,7,1
2022-12-08,11,7,3,1
2022-12-09,12,9,3,0
2022-12-10,8,3,5,0
2022-12-11,12,9,3,0
2022-12-12,11,6,5,0
2022-12-13,9,6,3,0
2022-12-14,11,7,4,0
2022-12-15,9,7,2,0
2022-12-16,15,8,7,0
2022-12-17,3,1,1,1
2022-12-18,12,9,3,0
2022-12-19,10,6,4,0
2022-12-20,13,7,5,1
2022-12-21,12,9,2,1
2022-12-22,11,6,5,0
2022-12-23,17,8,8,1
2022-12-24,12,9,3,0
2022-12-25,9,5,4,0
2022-12-26,5,2,3,0
2022-12-27,9,4,5,0
2022-12-28,10,6,4,0
2022-12-29,7,4,2,1
2022-12-30,10,6,4,0
2022-12-31,21,12,8,1
2023-01-01,17,11,5,1
2023-01-02,16,10,6,0
2023-01-03,20,17,2,1
2023-01-04,6,3,3,0
2023-01-05,14,11,3,0
2023-01-06,17,7,9,1
2023-01-07,8,7,1,0
2023-01-08,15,8,7,0
2023-01-09,11,9,1,1
2023-01-10,17,13,4,0
2023-01-11,15,9,6,0
2023-01-12,11,9,2,0
2023-01-13,17,12,5,0
2023-01-14,10,6,4,0
2023-01-15,12,9,3,0
2023-01-16,10,7,3,0
2023-01-17,14,8,6,0
2023-01-18,17,13,4,0
2023-01-19,10,5,5,0
2023-01-20,9,7,2,0
2023-01-21,5,2,2,1
2023-01-22,9,8,1,0
2023-01-23,8,7,1,0
2023-01-24,13,9,4,0
2023-01-25,11,9,2,0
2023-01-26,13,6,6,1
2023-01-27,9,7,2,0
2023-01-28,6,6,0,0
2023-01-29,14,8,5,1
2023-01-30,6,4,2,0
2023-01-31,13,9,4,0
2023-02-01,11,7,4,0
2023-02-02,5,3,1,1
2023-02-03,4,1,3,0
2023-02-04,12,6,5,1
2023-02-05,12,7,4,1
2023-02-06,13,9,4,0
2023-02-07,8,5,2,1
2023-02-08,6,5,1,0
2023-02-09,3,2,1,0
2023-02-10,11,5,6,0
2023-02-11,7,3,4,0
2023-02-12,5,2,2,1
2023-02-13,3,2,1,0
2023-02-14,3,3,0,0
2023-02-15,9,7,2,0
2023-02-16,6,4,2,0
2023-02-17,8,3,5,0
2023-02-18,7,4,2,1
2023-02-19,2,2,0,0
2023-02-20,9,6,3,0
2023-02-21,11,6,4,1
2023-02-22,4,2,2,0
2023-02-23,12,8,4,0
2023-02-24,7,5,2,0
2023-02-25,7,5,1,1
2023-02-26,9,8,1,0
2023-02-27,9,6,3,0
2023-02-28,10,8,2,0
2023-03-01,9,6,3,0
2023-03-02,5,4,0,1
2023-03-03,9,7,2,0
2023-03-04,7,6,1,0
2023-03-05,8,5,3,0
2023-03-06,5,2,3,0
2023-03-07,9,7,1,1
2023-03-08,6,3,2,1
2023-03-09,9,6,2,1
2023-03-10,9,5,3,1
2023-03-11,5,3,2,0
2023-03-12,4,2,2,0
2023-03-13,3,2,1,0
2023-03-14,6,4,2,0
2023-03-15,8,6,2,0
2023-03-16,8,7,1,0
2023-03-17,6,4,2,0
2023-03-18,11,6,5,0
2023-03-19,5,2,3,0
2023-03-20,10,6,4,0
2023-03-21,5,4,1,0
2023-03-22,10,5,5,0
2023-03-23,7,6,1,0
2023-03-24,6,3,3,0
2023-03-25,1,1,0,0
2023-03-26,8,4,4,0
2023-03-27,11,7,4,0
2023-03-28,4,3,1,0
2023-03-29,5,2,2,1
2023-03-30,7,4,3,0
2023-03-31,3,2,1,0
2023-04-01,4,3,1,0
2023-04-02,4,1,3,0
2023-04-03,2,1,1,0
2023-04-04,7,6,1,0
2023-04-05,8,3,5,0
2023-04-06,5,3,1,1
2023-04-07,2,2,0,0
2023-04-08,6,5,1,0
2023-04-09,4,2,2,0
2023-04-10,6,2,4,0
2023-04-11,8,6,1,1
2023-04-12,5,4,1,0
2023-04-13,3,2,1,0
2023-04-14,3,2,1,0
2023-04-15,4,4,0,0
2023-04-16,3,3,0,0
2023-04-17,8,4,3,1
2023-04-18,2,1,0,1
2023-04-19,5,4,0,1
2023-04-20,5,2,2,1
2023-04-21,3,3,0,0
2023-04-22,4,4,0,0
2023-04-23,3,2,1,0
2023-04-24,2,1,1,0
2023-04-25,5,4,1,0
2023-04-26,3,3,0,0
2023-04-27,1,0,1,0
2023-04-28,4,1,3,0
2023-04-29,4,3,1,0
2023-04-30,5,2,2,1
2023-05-01,6,3,3,0
2023-05-02,3,1,2,0
2023-05-03,4,3,1,0
2023-05-04,4,4,0,0
2023-05-05,1,1,0,0
2023-05-06,9,5,4,0
2023-05-07,1,1,0,0
2023-05-08,1,1,0,0
2023-05-09,2,0,2,0
2023-05-10,6,3,3,0
2023-05-11,6,4,2,0
2023-05-12,3,3,0,0
2023-05-13,2,0,2,0
2023-05-14,1,1,0,0
2023-05-15,3,2,1,0
2023-05-16,6,5,1,0
2023-05-17,6,3,3,0
2023-05-18,2,2,0,0
2023-05-19,4,3,1,0
2023-05-20,1,1,0,0
2023-05-21,2,2,0,0
2023-05-22,3,2,1,0
2023-05-23,2,2,0,0
2023-05-24,1,1,0,0
2023-05-25,1,0,1,0
2023-05-26,3,2,1,0
2023-05-27,4,2,2,0
2023-05-28,0,0,0,0
2023-05-29,4,3,1,0
2023-05-30,0,0,0,0
2023-05-31,6,5,1,0
2023-06-01,1,1,0,0
2023-06-02,3,2,1,0
2023-06-03,4,2,1,1
2023-06-04,2,1,1,0
2023-06-05,3,0,3,0
2023-06-06,1,1,0,0
2023-06-07,5,5,0,0
2023-06-08,1,1,0,0
2023-06-09,0,0,0,0
2023-06-10,0,0,0,0
2023-06-11,1,1,0,0
2023-06-12,3,2,1,0
2023-06-13,3,1,2,0
2023-06-14,3,1,2,0
2023-06-15,5,3,2,0
2023-06-16,2,1,1,0
2023-06-17,2,1,1,0
2023-06-18,0,0,0,0
2023-06-19,1,0,1,0
2023-06-20,1,1,0,0
2023-06-21,2,1,1,0
2023-06-22,2,2,0,0
2023-06-23,1,1,0,0
2023-06-24,2,2,0,0
2023-06-25,2,2,0,0
2023-06-26,2,0,1,1
2023-06-27,2,2,0,0
2023-06-28,1,1,0,0
2023-06-29,0,0,0,0
2023-06-30,1,0,0,1
2023-07-01,2,2,0,0
2023-07-02,1,1,0,0
2023-07-03,0,0,0,0
2023-07-04,0,0,0,0
2023-07-05,3,0,2,1
2023-07-06,2,0,2,0
2023-07-07,1,1,0,0
2023-07-08,1,1,0,0
2023-07-09,2,2,0,0
2023-07-10,3,1,1,1
2023-07-11,1,0,0,1
2023-07-12,1,1,0,0
2023-07-13,2,1,1,0
2023-07-14,1,0,1,0
2023-07-15,3,2,1,0
2023-07-16,1,1,0,0
2023-07-17,1,0,1,0
2023-07-18,0,0,0,0
2023-07-19,2,2,0,0
2023-07-20,2,1,1,0
2023-07-21,2,2,0,0
2023-07-22,1,1,0,0
2023-07-23,2,0,2,0
2023-07-24,0,0,0,0
2023-07-25,2,1,1,0
2023-07-26,2,1,1,0
2023-07-27,4,1,3,0
2023-07-28,3,2,0,1
2023-07-29,0,0,0,0
2023-07-30,5,4,1,0
2023-07-31,3,2,1,0
2023-08-01,0,0,0,0
2023-08-02,4,3,1,0
2023-08-03,2,1,0,1
2023-08-04,0,0,0,0
2023-08-05,3,2,1,0
2023-08-06,0,0,0,0
2023-08-07,1,1,0,0
2023-08-08,1,0,1,0
2023-08-09,1,1,0,0
2023-08-10,2,2,0,0
2023-08-11,2,1,1,0
2023-08-12,4,4,0,0
2023-08-13,3,3,0,0
2023-08-14,2,2,0,0
2023-08-15,2,2,0,0
2023-08-16,5,4,1,0
2023-08-17,0,0,0,0
2023-08-18,1,1,0,0
2023-08-19,1,1,0,0
2023-08-20,1,1,0,0
2023-08-21,3,3,0,0
2023-08-22,1,1,0,0
2023-08-23,2,0,2,0
2023-08-24,1,1,0,0
2023-08-25,1,0,1,0
2023-08-26,5,4,1,0
2023-08-27,3,3,0,0
2023-08-28,1,1,0,0
2023-08-29,1,0,1,0
2023-08-30,5,5,0,0
2023-08-31,2,1,0,1
2023-09-01,1,1,0,0
2023-09-02,2,2,0,0
2023-09-03,4,0,2,2
2023-09-04,3,2,1,0
2023-09-05,3,2,0,1
2023-09-06,2,1,1,0
2023-09-07,4,3,1,0
2023-09-08,4,2,1,1
2023-09-09,3,2,1,0
2023-09-10,3,2,1,0
2023-09-11,6,3,2,1
2023-09-12,4,3,0,1
2023-09-13,4,2,2,0
2023-09-14,4,3,1,0
2023-09-15,5,3,2,0
2023-09-16,1,1,0,0
2023-09-17,8,6,2,0
2023-09-18,2,1,1,0
2023-09-19,1,1,0,0
2023-09-20,5,4,0,1
2023-09-21,7,6,1,0
2023-09-22,4,3,1,0
2023-09-23,5,3,2,0
2023-09-24,3,3,0,0
2023-09-25,8,2,4,2
2023-09-26,8,5,2,1
2023-09-27,4,2,2,0
2023-09-28,7,7,0,0
2023-09-29,8,6,1,1
2023-09-30,3,3,0,0
2023-10-01,2,1,1,0
2023-10-02,9,7,1,1
2023-10-03,5,3,2,0
2023-10-04,4,2,2,0
2023-10-05,5,3,2,0
2023-10-06,2,2,0,0
2023-10-07,6,5,1,0
2023-10-08,5,3,2,0
2023-10-09,3,2,1,0
2023-10-10,7,3,4,0
2023-10-11,4,4,0,0
2023-10-12,14,10,4,0
2023-10-13,5,4,1,0
2023-10-14,6,3,3,0
2023-10-15,6,4,2,0
2023-10-16,7,6,1,0
2023-10-17,2,2,0,0
2023-10-18,5,4,1,0
2023-10-19,7,3,3,1
2023-10-20,5,5,0,0
2023-10-21,6,3,3,0
2023-10-22,8,4,3,1
2023-10-23,11,6,5,0
2023-10-24,9,3,6,0
2023-10-25,7,7,0,0
2023-10-26,4,1,2,1
2023-10-27,10,7,2,1
2023-10-28,8,1,5,2
2023-10-29,5,3,1,1
2023-10-30,6,4,2,0
2023-10-31,8,3,5,0
2023-11-01,12,10,2,0
2023-11-02,5,2,3,0
2023-11-03,8,6,2,0
2023-11-04,4,4,0,0
2023-11-05,11,8,3,0
2023-11-06,7,3,4,0
2023-11-07,7,4,3,0
2023-11-08,3,0,3,0
2023-11-09,9,6,3,0
2023-11-10,5,1,4,0
2023-11-11,12,7,5,0
2023-11-12,6,4,2,0
2023-11-13,8,2,6,0
2023-11-14,12,8,3,1
2023-11-15,15,7,7,1
2023-11-16,9,5,4,0
2023-11-17,10,4,4,2
2023-11-18,11,5,6,0
2023-11-19,9,7,2,0
2023-11-20,9,4,4,1
2023-11-21,6,2,3,1
2023-11-22,9,6,3,0
2023-11-23,10,7,2,1
2023-11-24,7,3,4,0
2023-11-25,6,2,4,0
2023-11-26,10,7,3,0
2023-11-27,7,4,2,1
2023-11-28,12,10,2,0
2023-11-29,10,6,4,0
2023-11-30,7,5,2,0
2023-12-01,6,3,3,0
2023-12-02,8,5,3,0
2023-12-03,18,11,7,0
2023-12-04,9,6,3,0
2023-12-05,12,7,2,3
2023-12-06,8,5,3,0
2023-12-07,13,11,2,0
2023-12-08,13,11,2,0
2023-12-09,10,5,5,0
2023-12-10,8,6,2,0
2023-12-11,7,6,1,0
2023-12-12,5,2,2,1
2023-12-13,4,4,0,0
2023-12-14,6,4,2,0
2023-12-15,5,4,1,0
2023-12-16,11,6,5,0
2023-12-17,6,3,3,0
2023-12-18,5,5,0,0
2023-12-19,9,5,4,0
2023-12-20,5,5,0,0
2023-12-21,5,2,3,0
2023-12-22,5,3,2,0
2023-12-23,10,7,3,0
2023-12-24,5,4,1,0
2023-12-25,13,9,2,2
2023-12-26,5,4,1,0
2023-12-27,8,5,3,0
2023-12-28,12,10,2,0
2023-12-29,7,4,3,0
2023-12-30,9,8,1,0
2023-12-31,13,9,3,1
2024-01-01,5,3,2,0
2024-01-02,11,7,4,0
2024-01-03,8,5,3,0
2024-01-04,12,10,2,0
2024-01-05,11,9,2,0
2024-01-06,8,6,0,2
2024-01-07,17,11,5,1
2024-01-08,12,10,2,0
2024-01-09,12,3,8,1
2024-01-10,7,6,1,0
2024-01-11,7,3,3,1
2024-01-12,9,8,1,0
2024-01-13,9,6,3,0
2024-01-14,8,6,1,1
2024-01-15,5,3,2,0
2024-01-16,8,4,4,0
2024-01-17,8,7,1,0
2024-01-18,11,3,7,1
2024-01-19,4,2,1,1
2024-01-20,7,3,3,1
2024-01-21,5,4,1,0
2024-01-22,5,3,1,1
2024-01-23,8,3,4,1
2024-01-24,6,3,1,2
2024-01-25,10,7,2,1
2024-01-26,4,3,1,0
2024-01-27,3,3,0,0
2024-01-28,7,5,1,1
2024-01-29,0,0,0,0
2024-01-30,4,3,1,0
2024-01-31,10,4,5,1
2024-02-01,5,1,4,0
2024-02-02,2,2,0,0
2024-02-03,5,2,3,0
2024-02-04,4,3,1,0
2024-02-05,5,2,2,1
2024-02-06,3,2,1,0
2024-02-07,1,1,0,0
2024-02-08,5,4,1,0
2024-02-09,2,0,1,1
2024-02-10,4,4,0,0
2024-02-11,6,6,0,0
2024-02-12,2,1,1,0
2024-02-13,2,1,1,0
2024-02-14,3,3,0,0
2024-02-15,1,1,0,0
2024-02-16,1,1,0,0
2024-02-17,2,2,0,0
2024-02-18,4,3,1,0
2024-02-19,1,1,0,0
2024-02-20,3,0,1,2
2024-02-21,4,3,0,1
2024-02-22,4,1,3,0
2024-02-23,2,2,0,0
2024-02-24,3,3,0,0
2024-02-25,2,2,0,0
2024-02-26,6,6,0,0
2024-02-27,5,4,1,0
2024-02-28,5,4,1,0
2024-02-29,2,2,0,0
2024-03-01,2,1,1,0
2024-03-02,4,4,0,0
2024-03-03,3,3,0,0
2024-03-04,1,0,1,0
2024-03-05,2,1,1,0
2024-03-06,3,2,1,0
2024-03-07,1,1,0,0
2024-03-08,3,2,1,0
2024-03-09,2,1,1,0
2024-03-10,1,0,1,0
2024-03-11,1,1,0,0
2024-03-12,4,3,1,0
2024-03-13,1,1,0,0
2024-03-14,2,1,1,0
2024-03-15,1,1,0,0
2024-03-16,1,1,0,0
2024-03-17,1,1,0,0
2024-03-18,1,1,0,0
2024-03-19,2,2,0,0
2024-03-20,0,0,0,0
2024-03-21,1,1,0,0
2024-03-22,2,1,1,0
2024-03-23,1,1,0,0
2024-03-24,1,1,0,0
2024-03-25,1,1,0,0
2024-03-26,1,1,0,0
2024-03-27,1,1,0,0
2024-03-28,1,0,1,0
2024-03-29,2,1,1,0
2024-03-30,0,0,0,0
2024-03-31,1,1,0,0
2024-04-01,0,0,0,0
2024-04-02,1,0,1,0
2024-04-03,2,1,1,0
2024-04-04,0,0,0,0
2024-04-05,1,1,0,0
2024-04-06,4,4,0,0
2024-04-07,2,2,0,0
2024-04-08,2,1,1,0
2024-04-09,2,2,0,0
2024-04-10,1,1,0,0
2024-04-11,1,0,1,0
2024-04-12,1,1,0,0
2024-04-13,2,2,0,0
2024-04-14,4,1,2,1
2024-04-15,1,0,1,0
2024-04-16,1,0,1,0
2024-04-17,3,2,1,0
2024-04-18,1,1,0,0
2024-04-19,3,2,1,0
2024-04-20,1,0,1,0
2024-04-21,1,1,0,0
2024-04-22,1,0,0,1
2024-04-23,2,1,1,0
2024-04-24,3,2,1,0
2024-04-25,2,1,1,0
2024-04-26,1,0,1,0
2024-04-27,0,0,0,0
2024-04-28,1,1,0,0
2024-04-29,0,0,0,0
2024-04-30,1,1,0,0
2024-05-01,0,0,0,0
2024-05-02,0,0,0,0
2024-05-03,2,1,1,0
2024-05-04,1,0,1,0
2024-05-05,2,1,1,0
2024-05-06,0,0,0,0
2024-05-07,1,0,1,0
2024-05-08,4,2,2,0
2024-05-09,1,1,0,0
2024-05-10,0,0,0,0
2024-05-11,3,2,1,0
2024-05-12,4,3,1,0
2024-05-13,1,1,0,0
2024-05-14,1,1,0,0
2024-05-15,3,3,0,0
2024-05-16,0,0,0,0
2024-05-17,0,0,0,0
2024-05-18,3,1,2,0
2024-05-19,4,2,2,0
2024-05-20,5,2,3,0
2024-05-21,0,0,0,0
2024-05-22,3,1,1,1
2024-05-23,3,2,1,0
2024-05-24,2,1,1,0
2024-05-25,2,1,1,0
2024-05-26,2,0,2,0
2024-05-27,4,3,1,0
2024-05-28,1,0,1,0
2024-05-29,3,1,2,0
2024-05-30,3,3,0,0
2024-05-31,2,0,2,0
2024-06-01,3,3,0,0
2024-06-02,2,0,2,0
2024-06-03,1,0,1,0
2024-06-04,3,0,3,0
2024-06-05,1,1,0,0
2024-06-06,3,1,2,0
2024-06-07,0,0,0,0
2024-06-08,2,2,0,0
2024-06-09,2,1,1,0
2024-06-10,2,2,0,0
2024-06-11,0,0,0,0
2024-06-12,0,0,0,0
2024-06-13,2,2,0,0
2024-06-14,2,2,0,0
2024-06-15,1,0,1,0
2024-06-16,0,0,0,0
2024-06-17,1,0,0,1
2024-06-18,0,0,0,0
2024-06-19,0,0,0,0
2024-06-20,1,0,1,0
2024-06-21,0,0,0,0
2024-06-22,1,1,0,0
2024-06-23,0,0,0,0
2024-06-24,3,2,1,0
2024-06-25,3,2,1,0
2024-06-26,1,0,1,0
2024-06-27,2,2,0,0
2024-06-28,0,0,0,0
2024-06-29,0,0,0,0
2024-06-30,0,0,0,0
2024-07-01,1,1,0,0
2024-07-02,2,0,2,0
2024-07-03,1,1,0,0
2024-07-04,1,0,1,0
2024-07-05,0,0,0,0
2024-07-06,0,0,0,0
2024-07-07,3,1,1,1
2024-07-08,0,0,0,0
2024-07-09,1,0,1,0
2024-07-10,0,0,0,0
2024-07-11,2,1,1,0
2024-07-12,4,3,1,0
2024-07-13,1,1,0,0
2024-07-14,0,0,0,0
2024-07-15,0,0,0,0
2024-07-16,4,4,0,0
2024-07-17,3,2,1,0
2024-07-18,2,1,1,0
2024-07-19,3,1,1,1
2024-07-20,0,0,0,0
2024-07-21,0,0,0,0
2024-07-22,1,0,1,0
2024-07-23,3,3,0,0
2024-07-24,2,2,0,0
2024-07-25,3,3,0,0
2024-07-26,1,1,0,0
2024-07-27,0,0,0,0
2024-07-28,1,1,0,0
2024-07-29,5,3,2,0
2024-07-30,1,0,1,0
2024-07-31,0,0,0,0
2024-08-01,4,2,2,0
2024-08-02,2,2,0,0
2024-08-03,1,0,1,0
2024-08-04,3,2,1,0
2024-08-05,2,1,1,0
2024-08-06,7,4,2,1
2024-08-07,0,0,0,0
2024-08-08,2,2,0,0
2024-08-09,1,1,0,0
2024-08-10,2,2,0,0
2024-08-11,0,0,0,0
2024-08-12,1,0,1,0
2024-08-13,0,0,0,0
2024-08-14,0,0,0,0
2024-08-15,3,3,0,0
2024-08-16,1,0,1,0
2024-08-17,4,1,3,0
2024-08-18,2,2,0,0
2024-08-19,3,1,2,0
2024-08-20,2,1,1,0
2024-08-21,1,1,0,0
2024-08-22,0,0,0,0
2024-08-23,2,2,0,0
2024-08-24,7,7,0,0
2024-08-25,4,2,2,0
2024-08-26,6,5,1,0
2024-08-27,4,3,0,1
2024-08-28,5,4,1,0
2024-08-29,6,4,2,0
2024-08-30,2,2,0,0
2024-08-31,1,0,1,0
2024-09-01,2,1,1,0
2024-09-02,0,0,0,0
2024-09-03,8,5,3,0
2024-09-04,1,1,0,0
2024-09-05,1,1,0,0
2024-09-06,0,0,0,0
2024-09-07,0,0,0,0
2024-09-08,2,2,0,0
2024-09-09,0,0,0,0
2024-09-10,0,0,0,0
2024-09-11,2,2,0,0
2024-09-12,5,2,3,0
2024-09-13,1,0,1,0
2024-09-14,2,1,0,1
2024-09-15,0,0,0,0
2024-09-16,3,2,1,0
2024-09-17,8,4,2,2
2024-09-18,4,2,2,0
2024-09-19,1,1,0,0
2024-09-20,4,3,1,0
2024-09-21,5,2,3,0
2024-09-22,1,1,0,0
2024-09-23,3,1,2,0
2024-09-24,0,0,0,0
2024-09-25,3,2,1,0
2024-09-26,5,3,2,0
2024-09-27,4,3,1,0
2024-09-28,4,4,0,0
2024-09-29,0,0,0,0
2024-09-30,2,1,1,0
2024-10-01,0,0,0,0
2024-10-02,1,0,1,0
2024-10-03,4,1,2,1
2024-10-04,3,1,2,0
2024-10-05,4,1,2,1
2024-10-06,2,0,1,1
2024-10-07,1,0,0,1
2024-10-08,3,2,1,0
2024-10-09,3,2,1,0
2024-10-10,1,1,0,0
2024-10-11,4,4,0,0
2024-10-12,1,0,1,0
2024-10-13,2,1,1,0
2024-10-14,7,5,2,0
2024-10-15,2,1,1,0
2024-10-16,2,1,1,0
2024-10-17,3,1,2,0
2024-10-18,2,1,1,0
2024-10-19,0,0,0,0
2024-10-20,3,3,0,0
2024-10-21,5,3,2,0
2024-10-22,4,2,2,0
2024-10-23,2,1,1,0
2024-10-24,1,1,0,0
2024-10-25,6,4,1,1
2024-10-26,2,2,0,0
2024-10-27,1,0,1,0
2024-10-28,2,1,1,0
2024-10-29,8,5,3,0
2024-10-30,3,2,1,0
2024-10-31,7,5,2,0
2024-11-01,4,3,1,0
2024-11-02,2,1,1,0
2024-11-03,4,2,1,1
2024-11-04,0,0,0,0
2024-11-05,3,3,0,0
2024-11-06,1,0,1,0
2024-11-07,3,3,0,0
2024-11-08,1,1,0,0
2024-11-09,1,1,0,0
2024-11-10,1,0,1,0
2024-11-11,1,0,1,0
2024-11-12,1,1,0,0
2024-11-13,3,3,0,0
2024-11-14,0,0,0,0
2024-11-15,1,0,1,0
2024-11-16,1,0,1,0
2024-11-17,0,0,0,0
2024-11-18,0,0,0,0
2024-11-19,0,0,0,0
2024-11-20,0,0,0,0
